,node,degree,betweenness,eigenvector
78,Davis,0.020202020202020204,0.0,6.265148607493202e-17
79,Common Core,0.010101010101010102,0.0,0.019078504260268817
80,Manafort,0.010101010101010102,0.0,0.02718907951123058
81,Comey,0.010101010101010102,0.0,0.035384716258180016
82,Sullivan,0.010101010101010102,0.0,0.035384716258180016
83,Abedin,0.05050505050505051,0.0,0.05439163358321488
84,Reid,0.010101010101010102,0.0,0.035384716258180016
85,Powell,0.010101010101010102,0.0,0.035384716258180016
86,Marco,0.020202020202020204,0.0,0.03642677965292371
87,Gowdy,0.010101010101010102,0.0,0.035384716258180016
88,Blumenthal,0.010101010101010102,0.0,0.035384716258180016
89,Williams,0.010101010101010102,0.0,0.035384716258180016
90,Roberts,0.020202020202020204,0.0,6.265148607493202e-17
91,Gore,0.010101010101010102,0.0,0.035384716258180016
92,Murphy,0.010101010101010102,0.0,0.019078504260268817
93,Tai,0.020202020202020204,0.0,6.265148607493202e-17
94,Jordan,0.010101010101010102,0.0,0.035384716258180016
95,Tipper,0.010101010101010102,0.0,0.035384716258180016
96,Rodham,0.010101010101010102,0.0,0.035384716258180016
97,Hillary Rodham,0.010101010101010102,0.0,0.035384716258180016
98,Huma,0.05050505050505051,0.0,0.05439163358321488
99,Bataclan,0.010101010101010102,0.0,0.035384716258180016
