,book_title,book_authors,genres,book_rating_count,book_rating,rec_score
15536,The Fionavar Tapestry,Guy Gavriel Kay,"Fantasy, Fiction, Fantasy, High Fantasy, Cultural, Canada, Science Fiction Fantasy, Fantasy, Epic Fantasy",-0.2208910892367974,0.8449652031715923,0.1426098509951951
20114,Caine Black Knife,Matthew Woodring Stover,"Fantasy, Science Fiction, Fiction, Fantasy, Dark Fantasy, Fantasy, Epic Fantasy",-0.2345059702358437,0.2480748899998001,0.14258809602321687
10056,Dust of Dreams,Steven Erikson,"Fantasy, Fantasy, Epic Fantasy, Fiction, Fantasy, High Fantasy",-0.1691271944771523,1.2180216489039608,0.14254566468838986
7495,Slathbog's Gold,M.L. Forman,"Fantasy, Young Adult, Fantasy, Dragons, Adventure, Fantasy, Magic",-0.2061784229979428,0.6957426248786442,0.14243406565347025
12624,To Green Angel Tower,Tad Williams,"Fantasy, Fiction, Fantasy, Epic Fantasy, Science Fiction Fantasy, Fantasy, High Fantasy",-0.13421684250943994,0.6957426248786442,0.1423074201352999
2363,Talon,Julie Kagawa,"Fantasy, Young Adult, Fantasy, Dragons, Romance, Fantasy, Paranormal",-0.16177867477580193,-0.8337888026240724,0.14215997464372992
17349,The Judging Eye,R. Scott Bakker,"Fantasy, Fantasy, Epic Fantasy, Fiction, Fantasy, Dark Fantasy, Fantasy, High Fantasy",-0.22543068513949235,-0.05037026658609438,0.1419513926596167
9146,Kushiel's Scion,Jacqueline Carey,"Fantasy, Romance, Fiction, Fantasy, Epic Fantasy, Science Fiction Fantasy",-0.17115868317715344,0.7703539140251199,0.1419196953193521
20595,Prince of Hazel and Oak,John Lenahan,"Fantasy, Young Adult, Audiobook, Fantasy, Magic",-0.23946358400565426,0.9941877814645405,0.14179257565180461
7000,Midnight Tides,Steven Erikson,"Fantasy, Fantasy, Epic Fantasy, Fiction, Fantasy, High Fantasy",-0.14040897633540506,1.3672442271969087,0.1416778333248091
1601,Oathbringer,Brandon Sanderson,"Fantasy, Fiction, Fantasy, Epic Fantasy",-0.013843323616293894,2.449107919820781,0.14147938479688849
19311,Eye of the Oracle,Bryan Davis,"Fantasy, Christian, Fantasy, Dragons, Christian Fiction, Young Adult, Fiction",-0.23266591027872724,0.4719087574392238,0.14130304449352674
2893,Pawn of Prophecy,David Eddings,"Fantasy, Fiction, Fantasy, Epic Fantasy, Science Fiction Fantasy",0.07544060474875737,0.658436980305408,0.14094414372047867
18852,Oathbreakers,Mercedes Lackey,"Fantasy, Fiction, Science Fiction Fantasy",-0.19039141177351065,0.6957426248786442,0.14094241928140389
7037,The Crown Conspiracy,Michael J. Sullivan,"Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, High Fantasy, Adventure",-0.18336324221331432,0.6957426248786442,0.1404971163334694
21553,The Wise Woman and Other Stories,"George MacDonald, Craig Yoe","Fantasy, Fiction, Classics, Fantasy, Fairy Tales, Christian Fiction, Short Stories, Christian",-0.24072545102507806,0.5838256911589323,0.14038695760309072
22235,Nightborn,Lou Anders,"Fantasy, Childrens, Middle Grade, Young Adult, Fantasy, Dragons, Fiction, Adventure, Childrens",-0.2434718674791181,0.4719087574392238,0.14027398188449786
20704,Dark Moon,David Gemmell,"Fantasy, Fiction, Fantasy, Heroic Fantasy, Fantasy, Epic Fantasy",-0.2316814196010344,0.17346360085332768,0.14019639588624933
14698,Black Wolves,Kate Elliott,"Fantasy, Fiction, Fantasy, Epic Fantasy, Adult, Fantasy, High Fantasy, Science Fiction Fantasy",-0.2399128555450776,-0.08767591115933222,0.14018882722280046
1170,Snow Like Ashes,Sara Raasch,"Fantasy, Young Adult, Romance, Fantasy, Magic",-0.054453564071124914,-0.08767591115933222,0.1401159540161751
22438,"The Malloreon, Vol. 2: Sorceress of Darshiva / The Seeress of Kell",David Eddings,"Fantasy, Fiction, Fantasy, High Fantasy, Science Fiction Fantasy, Fantasy, Epic Fantasy, Young Adult",-0.22439150053526094,1.3672442271969087,0.14008816080663844
2442,Theft of Swords,Michael J. Sullivan,"Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, High Fantasy, Adventure",-0.07534273729979075,0.8822708477448284,0.14001368823406923
3369,The Fires of Heaven,Robert Jordan,"Fantasy, Fiction, Fantasy, Epic Fantasy, Science Fiction Fantasy",0.20418229440229285,0.5838256911589323,0.1399744319085273
19262,Alta,Mercedes Lackey,"Fantasy, Fantasy, Dragons, Fiction, Science Fiction Fantasy",-0.21671872398371808,0.1361579562800882,0.13961636418092455
8552,Mirror Sight,Kristen Britain,"Fantasy, Fiction, Fantasy, Magic, Fantasy, Epic Fantasy, Fantasy, High Fantasy",-0.22141458824795154,-0.7218718689043606,0.13951836476304513
9927,Star of the Morning,Lynn Kurland,"Fantasy, Romance, Fantasy, Magic, Romance, Fantasy Romance, Adult, Adventure",-0.21919557751410407,-0.4234267123184645,0.13947676804463205
8561,Toll the Hounds,Steven Erikson,"Fantasy, Fantasy, Epic Fantasy, Fiction, Fantasy, High Fantasy",-0.16066135599080128,1.2926329380504364,0.13947633092534967
4,Divergent,Veronica Roth,"Young Adult, Science Fiction, Dystopia, Fiction, Fantasy",9.502634237866863,0.8822708477448284,0.13941114045881772
1363,Prince of Thorns,Mark  Lawrence,"Fantasy, Fiction, Fantasy, Dark Fantasy, Fantasy, Epic Fantasy, Fantasy, High Fantasy",0.0461637272145098,-0.4234267123184645,0.13939651575197548
14596,The Emerald Storm,Michael J. Sullivan,"Fantasy, Fantasy, Epic Fantasy, Fiction, Adventure, Fantasy, High Fantasy",-0.2212192527960284,1.2180216489039608,0.13924952597233597
21633,The Assassin King,Elizabeth Haydon,"Fantasy, Fiction, Fantasy, Epic Fantasy",-0.2268292869752624,0.3226861791462757,0.1392446180246708
20881,"The Sword of Truth, Boxed Set I: Wizard's First Rule, Blood of the Fold, Stone of Tears",Terry Goodkind,"Fantasy, Fiction",-0.2289818836554559,1.1434103597574885,0.13915396922490164
77,The Hobbit or There and Back Again,J.R.R. Tolkien,"Fantasy, Classics, Fiction, Adventure, Young Adult, Science Fiction Fantasy, Fantasy, High Fantasy, Childrens, Fantasy, Epic Fantasy, Novels",9.22682057975132,1.0314934260377764,0.13877780190492306
17207,The First Chronicles of Druss the Legend,David Gemmell,"Fantasy, Fiction, Fantasy, Heroic Fantasy, Fantasy, Epic Fantasy, Fantasy, High Fantasy, Adventure, Heroic Fantasy, Sword and Sorcery, Epic, Science Fiction Fantasy, War, Military Fiction",-0.20879201134467507,1.2553272934772002,0.138762751547783
1821,Skin Game,Jim Butcher,"Fantasy, Fantasy, Urban Fantasy, Fiction, Fantasy, Paranormal, Mystery, Fantasy, Magic",-0.013948804760332415,2.150662763234885,0.1384637999320188
2451,The Goblin Emperor,Katherine Addison,"Fantasy, Fiction, Science Fiction, Steampunk, Fantasy, High Fantasy",-0.17673355697504128,0.2107692454265639,0.13836955318143537
9996,The Hidden Kingdom,Tui T. Sutherland,"Fantasy, Fantasy, Dragons, Childrens, Middle Grade, Fiction, Adventure",-0.20702617885928945,2.225274052381361,0.13831676526127115
11975,The Mirror of Her Dreams,Stephen R. Donaldson,"Fantasy, Fiction, Science Fiction Fantasy, Fantasy, High Fantasy",-0.19700937688466832,-0.2742041340255165,0.13826585153853554
2313,Rebel Spring,"Morgan Rhodes, Michelle Rowen","Fantasy, Young Adult, Fantasy, Magic, Fantasy, High Fantasy",-0.14601901051463906,0.5465200465856962,0.13812555754821176
17514,The Dragon Princess,E.D. Baker,"Fantasy, Fantasy, Dragons, Fantasy, Fairy Tales, Young Adult, Fantasy, Magic",-0.2233757561852604,0.4346031128659843,0.13800175317887559
11657,The High Druid's Blade,Terry Brooks,"Fantasy, Fiction, Fantasy, Epic Fantasy",-0.2292827002514176,-0.1995928448790424,0.13795665088801412
13080,Arrow's Flight,Mercedes Lackey,"Fantasy, Fiction, Science Fiction Fantasy, Young Adult, Fantasy, Magic, Fantasy, High Fantasy, Fantasy, Epic Fantasy, Romance, Adventure, Adult",-0.17027186022542218,0.5838256911589323,0.13793706694812444
102,The Name of the Wind,Patrick Rothfuss,"Fantasy, Fiction, Fantasy, Epic Fantasy",1.8923533108123007,2.113357118661649,0.13781206578589464
9125,"The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness",Anne Bishop,"Fantasy, Romance, Fiction, Fantasy, Dark Fantasy, Fantasy, Magic",-0.19858768733620769,1.516466805489857,0.13780669962466285
13767,Wit'ch Fire,James Clemens,"Fantasy, Fiction, Fantasy, Magic, Fantasy, Paranormal, Fantasy, Epic Fantasy, Fantasy, High Fantasy, Paranormal, Witches, Science Fiction Fantasy, Horror, Adult",-0.22192636713199032,-0.3115097785987543,0.13767869623917253
15583,Hidden Warrior,Lynn Flewelling,"Fantasy, Fiction, Fantasy, High Fantasy, Lgbt, Fantasy, Epic Fantasy",-0.21692577956275666,0.5092144020124599,0.13753629779874255
12952,The Price of Valour,Django Wexler,"Fantasy, Fantasy, Epic Fantasy, Fiction, War, Military Fiction",-0.22250456006968292,0.9941877814645405,0.1374204219353271
9861,Wards of Faerie,Terry Brooks,"Fantasy, Fiction, Fantasy, Epic Fantasy",-0.2195003008191043,0.2107692454265639,0.1373035594459445
19540,Winds of Change,Mercedes Lackey,"Fantasy, Fiction, Science Fiction Fantasy",-0.19202050944255009,0.2107692454265639,0.1371405043642356
14468,The Knight,Gene Wolfe,"Fantasy, Fiction, Science Fiction Fantasy, Speculative Fiction",-0.2289818836554559,-0.9084000917705448,0.13711029224359195
1,The Fault in Our Stars,John Green,"Young Adult, Fiction, Romance, Contemporary",11.024047378970044,0.956882136891304,0.1370017696853373
7905,Soldier,Julie Kagawa,"Fantasy, Young Adult, Fantasy, Dragons, Romance",-0.22345389036602964,0.35999182371951194,0.13693376880898772
12505,Forge of Darkness,Steven Erikson,"Fantasy, Fantasy, Epic Fantasy, Fiction, Fantasy, High Fantasy",-0.2223717319623752,0.6211313357321718,0.13676460310208755
11318,Born of Betrayal,Sherrilyn Kenyon,"Romance, Fantasy, Romance, Paranormal Romance, Science Fiction, Fantasy, Paranormal, Audiobook, Fantasy, Urban Fantasy, Adult, Action, Science Fiction, Aliens",-0.22505173436276132,1.6283837392095686,0.1367072897630619
3476,The Daylight War,Peter V. Brett,"Fantasy, Fantasy, Epic Fantasy, Fiction, Fantasy, High Fantasy, Fantasy, Magic",-0.06520482734497722,0.8822708477448284,0.13658117370860204
21476,The Immortals,Tamora Pierce,"Fantasy, Young Adult, Fiction, Fantasy, Magic",-0.21702344728871828,2.1879684078081247,0.1363306530333495
12120,Moon Rising,Tui T. Sutherland,"Fantasy, Fantasy, Dragons, Childrens, Middle Grade, Young Adult, Fiction",-0.21846892963294987,2.561024853540493,0.1363149632667069
21831,The Complete Book of Swords,Fred Saberhagen,"Fantasy, Fiction, Science Fiction Fantasy, Fantasy, Epic Fantasy",-0.23236509368276556,0.2480748899998001,0.13628500364099827
2049,Kings Rising,C.S. Pacat,"Fantasy, Romance, Lgbt, Romance, M M Romance",-0.15006245436944904,1.8522176066489924,0.13599332526424202
15036,How to Steal a Dragon's Sword,Cressida Cowell,"Fantasy, Fantasy, Dragons, Childrens, Audiobook",-0.2287162274408404,1.6283837392095686,0.13593228383642997
808,Eldest,Christopher Paolini,"Fantasy, Young Adult, Fantasy, Dragons, Fiction",0.915125205221932,-0.05037026658609438,0.1359241849749615
18148,The World of Robert Jordan's The Wheel of Time,"Robert Jordan, Teresa Patterson","Fantasy, Fiction, Reference, Fantasy, Epic Fantasy",-0.21595691572121764,-0.3488154231719905,0.135818939706863
6248,The Forbidden Game,L.J. Smith,"Young Adult, Fantasy, Fantasy, Paranormal, Romance",-0.1652986196194578,0.7703539140251199,0.1357962311871055
9317,Valor,John Gwynne,"Fantasy, Fantasy, Epic Fantasy, Fiction, Fantasy, High Fantasy, Fantasy, Magic",-0.21593347546698688,1.4045498717701483,0.13579101019209575
16362,Dragonheart,Todd McCaffrey,"Fantasy, Science Fiction, Fantasy, Dragons",-0.1961264606419755,0.6211313357321718,0.1357125189328955
22125,Attrition: the First Act of Penance,S.G. Night,"Fantasy, Fantasy, Epic Fantasy, Fantasy, High Fantasy, Fantasy, Magic",-0.2420341985529634,0.5465200465856962,0.1356902741935069
3259,Promise of Blood,Brian  McClellan,"Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, High Fantasy, Science Fiction, Steampunk",-0.12412190635404953,0.658436980305408,0.13556501515800734
16746,The Ruins of Ambrai,Melanie Rawn,"Fantasy, Fiction, Fantasy, Epic Fantasy, Science Fiction Fantasy",-0.21147982716313812,0.2480748899998001,0.1355139521467599
5331,Cursor's Fury,Jim Butcher,"Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, High Fantasy",-0.04400311739323429,1.4418555163433844,0.13544343062863234
3795,The Curse of Chalion,Lois McMaster Bujold,"Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, High Fantasy",-0.13947917958425066,0.658436980305408,0.1354055594318166
695,The Assassin's Blade,Sarah J. Maas,"Fantasy, Young Adult, Romance",0.09233712134011324,1.7776063175025167,0.1353850659020963
3335,Best Served Cold,Joe Abercrombie,"Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, Dark Fantasy",-0.051043007080546016,0.7330482694518804,0.13513108083428932
